year,month,day,hour,temp,temp_source,rhum,rhum_source,prcp,prcp_source,snwd,snwd_source,wdir,wdir_source,wspd,wspd_source,wpgt,wpgt_source,pres,pres_source,cldc,cldc_source,coco,coco_source,humidity
2025,1,1,1,11.1,isd_lite,43,isd_lite,0.0,isd_lite,,,230,isd_lite,24.1,isd_lite,,,1008.2,isd_lite,2,isd_lite,2,dwd_mosmix,43
2025,1,1,2,11.1,isd_lite,41,isd_lite,0.0,isd_lite,,,260,isd_lite,29.5,isd_lite,,,1009.0,isd_lite,4,dwd_mosmix,2,dwd_mosmix,41
2025,1,1,3,11.1,isd_lite,41,isd_lite,0.0,isd_lite,,,250,isd_lite,24.1,isd_lite,,,1009.5,isd_lite,4,isd_lite,2,dwd_mosmix,41
2025,1,1,4,10.6,isd_lite,44,isd_lite,0.0,isd_lite,,,240,isd_lite,14.8,isd_lite,,,1010.1,isd_lite,2,isd_lite,2,dwd_mosmix,44
2025,1,1,5,10.0,isd_lite,46,isd_lite,0.0,isd_lite,,,260,isd_lite,27.7,isd_lite,,,1010.4,isd_lite,0,isd_lite,2,dwd_mosmix,46
2025,1,1,6,9.4,isd_lite,48,isd_lite,0.0,dwd_mosmix,,,250,isd_lite,16.6,isd_lite,,,1010.4,isd_lite,0,isd_lite,2,dwd_mosmix,48
2025,1,1,7,8.9,isd_lite,50,isd_lite,0.0,dwd_mosmix,,,250,isd_lite,22.3,isd_lite,,,1011.0,isd_lite,0,isd_lite,2,dwd_mosmix,50
2025,1,1,8,8.3,isd_lite,49,isd_lite,0.0,dwd_mosmix,,,280,isd_lite,14.8,isd_lite,,,1011.5,isd_lite,0,isd_lite,2,dwd_mosmix,49
2025,1,1,9,8.3,isd_lite,49,isd_lite,0.0,dwd_mosmix,,,250,isd_lite,16.6,isd_lite,,,1012.1,isd_lite,0,isd_lite,2,dwd_mosmix,49
2025,1,1,10,8.3,isd_lite,49,isd_lite,0.0,dwd_mosmix,,,250,isd_lite,18.4,isd_lite,,,1012.3,isd_lite,0,isd_lite,4,dwd_mosmix,49
2025,1,1,11,8.3,isd_lite,52,isd_lite,0.0,dwd_mosmix,,,250,isd_lite,16.6,isd_lite,,,1012.8,isd_lite,0,isd_lite,2,dwd_mosmix,52
2025,1,1,12,8.3,isd_lite,52,isd_lite,0.0,dwd_mosmix,,,260,isd_lite,13.0,isd_lite,,,1013.2,isd_lite,2,isd_lite,2,dwd_mosmix,52
2025,1,1,13,7.2,isd_lite,56,isd_lite,0.0,dwd_mosmix,,,0,isd_lite,0.0,isd_lite,,,1013.7,isd_lite,2,isd_lite,2,dwd_mosmix,56
2025,1,1,14,8.9,isd_lite,51,isd_lite,0.0,dwd_mosmix,,,0,isd_lite,0.0,isd_lite,,,1013.7,isd_lite,2,isd_lite,2,dwd_mosmix,51
2025,1,1,15,10.0,isd_lite,48,isd_lite,0.0,dwd_mosmix,,,0,isd_lite,0.0,isd_lite,,,1013.7,isd_lite,2,isd_lite,2,dwd_mosmix,48
2025,1,1,16,10.6,isd_lite,44,isd_lite,0.0,dwd_mosmix,,,60,isd_lite,7.6,isd_lite,,,1012.9,isd_lite,5,dwd_mosmix,3,dwd_mosmix,44
2025,1,1,17,11.1,isd_lite,41,isd_lite,0.0,dwd_mosmix,,,180,isd_lite,14.8,isd_lite,,,1011.6,isd_lite,6,dwd_mosmix,4,dwd_mosmix,41
2025,1,1,18,11.1,isd_lite,43,isd_lite,0.0,dwd_mosmix,,,170,isd_lite,13.0,isd_lite,,,1010.6,isd_lite,4,isd_lite,4,dwd_mosmix,43
2025,1,1,19,11.1,isd_lite,44,isd_lite,0.0,dwd_mosmix,,,150,isd_lite,20.5,isd_lite,,,1010.0,isd_lite,6,dwd_mosmix,4,dwd_mosmix,44
